T,Y,X3,P3,TX3,X2,P2,TX2,X1,P1,TX1
72,75,0,0,0,0,0,0,0,0,0
73,74,0,0,0,0,0,0,0,0,0
74,75,0,0,0,0,0,0,0,0,0
75,75,0,0,0,0,0,0,0,0,0
76,73,0,0,0,0,0,0,0,0,0
77,75,0,0,0,0,0,0,0,0,0
78,75,0,0,0,0,0,0,0,0,0
79,74,0,0,0,0,0,0,0,0,0
80,74,0,0,0,0,0,0,0,0,0
81,74,0,0,0,0,0,0,0,0,0
82,74,0,0,0,0,0,0,0,0,0
83,74,0,0,0,0,0,0,0,0,0
84,73,0,0,0,0,0,0,0,0,0
85,72,0,0,0,0,0,0,0,0,0
86,71,0,0,0,0,0,0,0,0,0
87,67,0,0,0,0,0,0,0,0,0
88,67,0,0,0,0,0,0,0,0,0
89,67,0,0,0,0,0,0,0,0,0
90,67,0,0,0,0,0,0,0,0,0
91,67,0,0,0,0,0,0,0,0,0
92,67,0,0,0,0,0,0,0,0,0
93,67,0,0,0,0,0,0,0,0,0
94,67,0,0,0,0,0,0,0,0,0
95,64,0,0,0,0,0,0,0,0,0
96,64,0,0,0,0,0,0,0,0,0
97,64,0,0,0,0,0,0,0,0,0
98,67,0,0,0,0,0,0,0,0,0
99,71,0,0,0,0,0,0,0,0,0
100,72,0,0,0,0,0,0,0,0,0
101,77,0,0,0,0,0,0,0,0,0
102,80,0,0,0,0,0,0,1,1,102
103,80,0,0,0,0,0,0,1,2,103
104,77,0,0,0,0,0,0,1,3,104
105,77,0,0,0,0,0,0,1,4,105
106,71,0,0,0,0,0,0,1,5,106
107,69,0,0,0,0,0,0,1,6,107
108,69,0,0,0,0,0,0,1,7,108
109,69,0,0,0,0,0,0,1,8,109
110,73,0,0,0,0,0,0,1,9,110
111,73,0,0,0,0,0,0,1,10,111
112,69,0,0,0,0,0,0,1,11,112
113,69,0,0,0,0,0,0,1,12,113
114,69,0,0,0,0,0,0,1,13,114
115,67,0,0,0,0,0,0,1,14,115
116,68,0,0,0,0,0,0,1,15,116
117,71,0,0,0,0,0,0,1,16,117
118,74,0,0,0,0,0,0,1,17,118
119,74,0,0,0,0,0,0,1,18,119
120,74,0,0,0,0,0,0,1,19,120
121,74,0,0,0,0,0,0,1,20,121
122,76,0,0,0,0,0,0,1,21,122
123,76,0,0,0,0,0,0,1,22,123
124,78,0,0,0,0,0,0,1,23,124
125,79,0,0,0,0,0,0,1,24,125
126,79,0,0,0,0,0,0,1,25,126
127,79,0,0,0,0,0,0,1,26,127
128,80,0,0,0,0,0,0,1,27,128
129,80,0,0,0,0,0,0,1,28,129
130,80,0,0,0,0,0,0,1,29,130
131,80,0,0,0,0,0,0,1,30,131
132,80,0,0,0,0,0,0,1,31,132
133,80,0,0,0,0,0,0,1,32,133
134,80,0,0,0,0,0,0,1,33,134
135,80,0,0,0,0,0,0,1,34,135
136,80,0,0,0,0,0,0,1,35,136
137,80,0,0,0,0,0,0,1,36,137
138,80,0,0,0,0,0,0,1,37,138
139,80,0,0,0,0,0,0,1,38,139
140,77,0,0,0,0,0,0,1,39,140
141,77,0,0,0,0,0,0,1,40,141
142,77,0,0,0,0,0,0,1,41,142
143,75,0,0,0,0,0,0,1,42,143
144,75,0,0,0,0,0,0,1,43,144
145,71,0,0,0,0,0,0,1,44,145
146,68,0,0,0,0,0,0,1,45,146
147,68,0,0,0,0,0,0,1,46,147
148,72,0,0,0,0,0,0,1,47,148
149,76,0,0,0,0,0,0,1,48,149
150,80,0,0,0,0,0,0,1,49,150
151,80,0,0,0,0,0,0,1,50,151
152,80,0,0,0,0,0,0,1,51,152
153,80,0,0,0,0,0,0,1,52,153
154,80,0,0,0,0,0,0,1,53,154
155,80,0,0,0,0,0,0,1,54,155
156,77,0,0,0,0,0,0,1,55,156
157,77,0,0,0,0,0,0,1,56,157
158,79,0,0,0,0,0,0,1,57,158
159,79,0,0,0,0,0,0,1,58,159
160,79,0,0,0,0,0,0,1,59,160
161,79,0,0,0,0,0,0,1,60,161
162,80,0,0,0,0,0,0,1,61,162
163,80,0,0,0,0,0,0,1,62,163
164,80,0,0,0,0,0,0,1,63,164
165,80,0,0,0,0,0,0,1,64,165
166,80,0,0,0,0,0,0,1,65,166
167,80,0,0,0,0,0,0,1,66,167
168,78,0,0,0,0,0,0,1,67,168
169,75,0,0,0,0,0,0,1,68,169
170,75,0,0,0,0,0,0,1,69,170
171,75,0,0,0,0,0,0,1,70,171
172,76,0,0,0,0,0,0,1,71,172
173,76,0,0,0,0,0,0,1,72,173
174,76,0,0,0,0,0,0,1,73,174
175,73,0,0,0,0,0,0,1,74,175
176,73,0,0,0,0,0,0,1,75,176
177,73,0,0,0,0,0,0,1,76,177
178,73,0,0,0,0,0,0,1,77,178
179,71,0,0,0,0,0,0,1,78,179
180,71,0,0,0,0,0,0,1,79,180
181,69,0,0,0,0,0,0,1,80,181
182,69,0,0,0,0,0,0,1,81,182
183,69,0,0,0,0,0,0,1,82,183
184,69,0,0,0,0,0,0,1,83,184
185,69,0,0,0,0,0,0,1,84,185
186,71,0,0,0,0,0,0,1,85,186
187,74,0,0,0,0,0,0,1,86,187
188,78,0,0,0,0,0,0,1,87,188
189,80,0,0,0,0,0,0,1,88,189
190,82,0,0,0,0,0,0,1,89,190
191,84,0,0,0,0,0,0,1,90,191
192,84,0,0,0,0,0,0,1,91,192
193,84,0,0,0,0,0,0,1,92,193
194,82,0,0,0,0,0,0,1,93,194
195,82,0,0,0,0,0,0,1,94,195
196,82,0,0,0,0,0,0,1,95,196
197,88,0,0,0,0,0,0,1,96,197
198,98,0,0,0,1,1,198,1,97,198
199,105,0,0,0,1,2,199,1,98,199
200,110,0,0,0,1,3,200,1,99,200
201,110,0,0,0,1,4,201,1,100,201
202,110,0,0,0,1,5,202,1,101,202
203,102,0,0,0,1,6,203,1,102,203
204,97,0,0,0,1,7,204,1,103,204
205,88,0,0,0,1,8,205,1,104,205
206,88,1,1,206,1,9,206,1,105,206
207,88,1,2,207,1,10,207,1,106,207
208,88,1,3,208,1,11,208,1,107,208
209,88,1,4,209,1,12,209,1,108,209
210,90,1,5,210,1,13,210,1,109,210
211,92,1,6,211,1,14,211,1,110,211
212,94,1,7,212,1,15,212,1,111,212
213,94,1,8,213,1,16,213,1,112,213
214,96,1,9,214,1,17,214,1,113,214
215,98,1,10,215,1,18,215,1,114,215
216,100,1,11,216,1,19,216,1,115,216
217,100,1,12,217,1,20,217,1,116,217
218,100,1,13,218,1,21,218,1,117,218
219,100,1,14,219,1,22,219,1,118,219
220,100,1,15,220,1,23,220,1,119,220
221,100,1,16,221,1,24,221,1,120,221
222,100,1,17,222,1,25,222,1,121,222
223,100,1,18,223,1,26,223,1,122,223
224,100,1,19,224,1,27,224,1,123,224
225,100,1,20,225,1,28,225,1,124,225
226,100,1,21,226,1,29,226,1,125,226
227,100,1,22,227,1,30,227,1,126,227
228,100,1,23,228,1,31,228,1,127,228
229,100,1,24,229,1,32,229,1,128,229
230,100,1,25,230,1,33,230,1,129,230
231,100,1,26,231,1,34,231,1,130,231

